Text,Label
,Miscellaneous
2,Miscellaneous
t,Miscellaneous
0,Miscellaneous
y,Miscellaneous
2,Miscellaneous
99,Miscellaneous
hi,Miscellaneous
ok,Miscellaneous
no,Miscellaneous
99,Miscellaneous
?!,Miscellaneous
etc,Miscellaneous
how,Miscellaneous
com,Miscellaneous
why,Miscellaneous
lie,Miscellaneous
bye,Miscellaneous
rip,Miscellaneous
ccc,Miscellaneous
hey,Miscellaneous
yay,Miscellaneous
sup,Miscellaneous
apr,Miscellaneous
how,Miscellaneous
com,Miscellaneous
lie,Miscellaneous
#edb,Miscellaneous
cool,Miscellaneous
nope,Miscellaneous
okay,Miscellaneous
okie,Miscellaneous
loan,Miscellaneous
nice,Miscellaneous
etc?,Miscellaneous
#edb,Miscellaneous
Why?,Miscellaneous
#name,Miscellaneous
first,Miscellaneous
hello,Miscellaneous
howdy,Miscellaneous
test1,Miscellaneous
hiiii,Miscellaneous
email,Miscellaneous
islami,Miscellaneous
5 to 3,Miscellaneous
cancel,Miscellaneous
buffal,Miscellaneous
helllo,Miscellaneous
#edb -,Miscellaneous
5 to 3,Miscellaneous
tell me,Inquiry
50 to 4,Miscellaneous
pay now,Miscellaneous
nothing,Miscellaneous
hahahah,Miscellaneous
hashaha,Miscellaneous
savings,Miscellaneous
sdjhsjd,Miscellaneous
ewfdwef,Miscellaneous
aghsnow,Miscellaneous
50 to 4,Miscellaneous
usurious,Miscellaneous
aba pete,Miscellaneous
allright,Miscellaneous
hahahaha,Miscellaneous
1.24E+19,Miscellaneous
helloooo,Miscellaneous
bankofng,Miscellaneous
mandayyy,Miscellaneous
Usurious,Miscellaneous
Aba Pete,Miscellaneous
need loan,Inquiry
loan loan,Inquiry
lets work,Miscellaneous
504499349,Miscellaneous
558003527,Miscellaneous
501304567,Miscellaneous
509999999,Miscellaneous
502222222,Miscellaneous
all right,Miscellaneous
more info,Miscellaneous
come here,Miscellaneous
ajshajhds,Miscellaneous
it is bad,Miscellaneous
nice post,Miscellaneous
heyyyyyyy,Miscellaneous
hey there,Miscellaneous
your done,Miscellaneous
532101789,Miscellaneous
loan laon,Miscellaneous
504499349,Miscellaneous
558003527,Miscellaneous
Islami???,Miscellaneous
loan de do,Inquiry
inshaallah,Miscellaneous
heuwefhkje,Miscellaneous
5114536312,Miscellaneous
hiiiiiiiii,Miscellaneous
heehyeyeye,Miscellaneous
jhwqbgfjwe,Miscellaneous
im so cold,Miscellaneous
Let's work,Miscellaneous
please help,Inquiry
please call,Inquiry
account bal,Inquiry
i need this,Inquiry
loan needed,Inquiry
need a loan,Inquiry
what is apr,Inquiry
i need loan,Inquiry
Please help,Inquiry
please call,Inquiry
crown of ye,Miscellaneous
zain and no,Miscellaneous
how are you,Miscellaneous
this is red,Miscellaneous
hiiiiiiiiii,Miscellaneous
requirement,Miscellaneous
ole ole ole,Miscellaneous
hey hey hey,Miscellaneous
heheheheheh,Miscellaneous
lallalalala,Miscellaneous
Crown of ye,Miscellaneous
Insha'Allah,Miscellaneous
Zain and no,Miscellaneous
loan inquiry,Inquiry
lost my card,Inquiry
card is lost,Inquiry
i need loans,Inquiry
what is shzp,Inquiry
loan request,Inquiry
i want cardd,Inquiry
please reply,Miscellaneous
okay  no job,Miscellaneous
saids mother,Miscellaneous
i am mahmoud,Miscellaneous
5 decreasing,Miscellaneous
971504866011,Miscellaneous
pay my bills,Miscellaneous
not required,Miscellaneous
that was all,Miscellaneous
more details,Miscellaneous
971575345817,Miscellaneous
971542321000,Miscellaneous
971142493783,Miscellaneous
971521441796,Miscellaneous
971542165421,Miscellaneous
lalallalalal,Miscellaneous
971521478963,Miscellaneous
971526585617,Miscellaneous
971543567876,Miscellaneous
hahahahhahaa,Miscellaneous
hjdjaewrvget,Miscellaneous
971556781234,Miscellaneous
971544845446,Miscellaneous
971567853654,Miscellaneous
971512345678,Miscellaneous
hey whats up,Miscellaneous
what a match,Miscellaneous
971520147001,Miscellaneous
amazing post,Miscellaneous
971548796254,Miscellaneous
i need a hug,Miscellaneous
please reply,Miscellaneous
"Okay, no job",Miscellaneous
"Okay, no job",Miscellaneous
5 decreasing,Miscellaneous
how much rith,Inquiry
where are you,Inquiry
fund transfer,Inquiry
required loan,Inquiry
need car loan,Inquiry
i want a loan,Inquiry
i called mohd,Miscellaneous
and no birdon,Miscellaneous
marvel at him,Miscellaneous
rest in peace,Miscellaneous
5848548485485,Miscellaneous
interest loan,Miscellaneous
heyjhhhhhhhyh,Miscellaneous
I called Mohd,Miscellaneous
said's mother,Miscellaneous
And no Birdon,Miscellaneous
Marvel at him,Miscellaneous
you have a job,Inquiry
i have a query,Inquiry
freeze my card,Inquiry
help me please,Inquiry
hi i need loan,Inquiry
need home loan,Inquiry
loan loan loan,Inquiry
i neeed a loan,Inquiry
How much rith?,Inquiry
You have a job,Inquiry
Where are you?,Inquiry
Where are you?,Inquiry
I have a query,Inquiry
may allah help,Miscellaneous
in a good loan,Miscellaneous
eact winn site,Miscellaneous
hi  0502305937,Miscellaneous
make a payment,Miscellaneous
representative,Miscellaneous
hi how are you,Miscellaneous
are you a fool,Miscellaneous
loanloans lona,Miscellaneous
bankofng heyyy,Miscellaneous
loan requiredf,Miscellaneous
classifyplease,Miscellaneous
missin the boo,Miscellaneous
almost bedtime,Miscellaneous
may Allah help,Miscellaneous
In a good loan,Miscellaneous
i appeal to you,Inquiry
how much profit,Inquiry
contact numbers,Inquiry
for information,Inquiry
